employee_code,period,basic_salary,fixed_allowances,shift_allowances,overtime_pay,bonus,gross_earnings,attendance_deduction,no_pay_deduction,loan_deduction,total_deductions,net_salary,status
EMP0091,2025-12,234900,10255,0,4122.04,0,249277.04,2013.97,0,3142,5155.97,244121.07,PAID
EMP0092,2025-12,149500,11642,0,3324.22,0,164466.22,0,0,0,0,164466.22,PAID
EMP0093,2025-12,71400,12321,0,3389.78,0,87110.78,829.57,0,0,829.57,86281.21,PAID
EMP0094,2025-12,68500,10516,0,1975.96,0,80991.96,850.76,5269.23,0,6119.99,74871.97,PAID
EMP0095,2025-12,74400,9311,0,3380.19,0,87091.19,0,0,0,0,87091.19,PAID
EMP0096,2025-12,74400,10281,0,2298.17,0,86979.17,1073.08,5723.08,0,6796.16,80183.01,PAID
EMP0097,2025-12,80000,10094,0,4413.46,0,94507.46,698.72,0,0,698.72,93808.74,PAID
EMP0098,2025-12,80000,11150,0,1653.85,0,92803.85,0,0,0,0,92803.85,PAID
EMP0100,2025-12,79700,9874,0,1571.01,0,91145.01,1200.61,6130.77,0,7331.38,83813.63,PAID
EMP0001,2026-01,423400,11402,0,21882.45,0,456684.45,7836.97,32569.23,0,40406.2,416278.25,PAID
EMP0002,2026-01,189600,12078,0,4489.33,0,206167.33,3387.88,29169.23,0,32557.11,173610.22,PAID
EMP0003,2026-01,58700,11203,0,1037.13,0,70940.13,752.56,4515.38,0,5267.94,65672.19,PAID
EMP0004,2026-01,49300,10929,0,634.03,0,60863.03,173.81,0,0,173.81,60689.22,PAID
EMP0005,2026-01,59300,10762,0,2608.63,0,72670.63,304.1,4561.54,0,4865.64,67804.99,PAID
EMP0007,2026-01,60900,9845,0,3813.57,0,74558.57,209.83,0,0,209.83,74348.74,PAID
EMP0008,2026-01,53500,9417,0,1170.31,0,64087.31,548.72,0,0,548.72,63538.59,PAID
EMP0009,2026-01,205600,10222,0,10304.71,17841,243967.71,3838.53,7907.69,0,11746.22,232221.49,PAID
EMP0010,2026-01,95600,11402,6514,1746.54,0,115262.54,1348.21,3676.92,0,5025.13,110237.41,PAID
EMP0011,2026-01,99200,10482,6348,3720,0,119750,1542.05,0,0,1542.05,118207.95,PAID
EMP0012,2026-01,108400,10801,6099,2449.42,0,127749.42,2058.56,8338.46,0,10397.02,117352.4,PAID
EMP0013,2026-01,91000,10444,5575,2417.19,0,109436.19,1436.46,3500,0,4936.46,104499.73,PAID
EMP0014,2026-01,84800,10475,4558,5096.15,0,104929.15,1596.79,9784.62,0,11381.41,93547.74,PAID
EMP0015,2026-01,77100,11873,5210,1529.03,0,95712.03,1235.58,0,0,1235.58,94476.45,PAID
EMP0016,2026-01,76500,10579,4866,1434.38,0,93379.38,766.23,2942.31,0,3708.54,89670.84,PAID
EMP0017,2026-01,61700,11702,5317,1764.98,0,80483.98,721.81,0,0,721.81,79762.17,PAID
EMP0018,2026-01,57200,10444,6405,1656.88,0,75705.88,559.17,2200,0,2759.17,72946.71,PAID
EMP0019,2026-01,56400,9194,5585,1979.42,0,73158.42,108.46,0,7852,7960.46,65197.96,PAID
EMP0020,2026-01,63500,10157,6732,145.01,0,80534.01,0,0,3564,3564,76970.01,PAID
EMP0022,2026-01,56800,12054,4002,512.02,0,73368.02,218.46,0,0,218.46,73149.56,PAID
EMP0023,2026-01,61100,10950,6209,1835.94,0,80094.94,851.88,0,0,851.88,79243.06,PAID
EMP0024,2026-01,57000,10871,5466,1740.14,0,75077.14,100.48,0,0,100.48,74976.66,PAID
EMP0025,2026-01,63600,11828,6572,2239.76,0,84239.76,295.58,4892.31,0,5187.89,79051.87,PAID
EMP0026,2026-01,51900,8607,4287,2576.29,0,67370.29,345.17,1996.15,0,2341.32,65028.97,PAID
EMP0027,2026-01,63500,10394,4315,267.13,0,78476.13,1399.24,4884.62,0,6283.86,72192.27,PAID
EMP0028,2026-01,59200,9634,6594,4034.42,0,79462.42,1527.44,4553.85,0,6081.29,73381.13,PAID
EMP0029,2026-01,63500,11417,5350,969.29,0,81236.29,1032.89,2442.31,0,3475.2,77761.09,PAID
EMP0030,2026-01,59500,8828,5793,1887.98,0,76008.98,429.09,4576.92,4367,9373.01,66635.97,PAID
EMP0031,2026-01,64900,9995,4220,1138.87,0,80253.87,275.62,0,4991,5266.62,74987.25,PAID
EMP0032,2026-01,64500,12560,5619,2930.41,0,85609.41,744.23,7442.31,4472,12658.54,72950.87,PAID
EMP0033,2026-01,57000,9003,5557,383.65,0,71943.65,680.53,6576.92,0,7257.45,64686.2,PAID
EMP0034,2026-01,62600,9956,5870,346.11,0,78772.11,722.31,0,0,722.31,78049.8,PAID
EMP0035,2026-01,58400,11538,6719,744.04,0,77401.04,706.6,2246.15,0,2952.75,74448.29,PAID
EMP0037,2026-01,40000,12230,5117,836.54,0,58183.54,76.92,0,0,76.92,58106.62,PAID
EMP0038,2026-01,43400,11841,5167,709.42,0,61117.42,525.11,1669.23,0,2194.34,58923.08,PAID
EMP0039,2026-01,40900,9071,4963,2226.89,0,57160.89,534.19,0,0,534.19,56626.7,PAID
EMP0040,2026-01,39600,10384,5623,2118.03,0,57725.03,444.23,9138.46,3633,13215.69,44509.34,PAID
EMP0041,2026-01,45900,9891,5654,1655.05,12530,75630.05,662.02,0,0,662.02,74968.03,PAID
EMP0042,2026-01,42300,9362,5343,238.95,0,57243.95,684.66,6507.69,0,7192.35,50051.6,PAID
EMP0043,2026-01,45500,10638,6088,1039.06,0,63265.06,222.4,0,0,222.4,63042.66,PAID
EMP0044,2026-01,41000,10438,5822,547,0,57807,407.37,1576.92,0,1984.29,55822.71,PAID
EMP0045,2026-01,39200,10621,4681,1404.04,0,55906.04,229.29,1507.69,0,1736.98,54169.06,PAID
EMP0046,2026-01,41400,9871,6586,1403.22,0,59260.22,255.43,0,0,255.43,59004.79,PAID
EMP0047,2026-01,29900,9568,4048,682.81,0,44198.81,210.83,2300,7119,9629.83,34568.98,PAID
EMP0049,2026-01,185500,12823,0,2630.89,0,200953.89,1709.33,14269.23,0,15978.56,184975.33,PAID
EMP0050,2026-01,86500,11832,4750,2422.42,0,105504.42,873.32,0,0,873.32,104631.1,PAID
EMP0051,2026-01,94900,10475,4929,1825,0,112129,2220.42,14600,0,16820.42,95308.58,PAID
EMP0052,2026-01,53000,10756,4628,1356.85,0,69740.85,1048.96,4076.92,0,5125.88,64614.97,PAID
EMP0054,2026-01,52200,10988,6663,250.96,0,70101.96,589.76,4015.38,0,4605.14,65496.82,PAID
EMP0055,2026-01,59100,10277,6269,2024.46,0,77670.46,885.55,2273.08,0,3158.63,74511.83,PAID
EMP0057,2026-01,52200,12958,4238,2547.26,0,71943.26,401.54,4015.38,0,4416.92,67526.34,PAID
EMP0059,2026-01,57900,10694,4986,1920.72,0,75500.72,779.42,2226.92,0,3006.34,72494.38,PAID
EMP0061,2026-01,185200,10980,0,4207.07,0,200387.07,3042.15,21369.23,0,24411.38,175975.69,PAID
EMP0062,2026-01,93500,10504,6555,1584.56,0,112143.56,1820.55,14384.62,0,16205.17,95938.39,PAID
EMP0063,2026-01,111100,11113,5582,2497.08,0,130292.08,436.21,8546.15,0,8982.36,121309.72,PAID
EMP0064,2026-01,55300,10799,4712,2060.46,0,72871.46,545.02,2126.92,0,2671.94,70199.52,PAID
EMP0065,2026-01,67000,10697,6588,587.86,0,84872.86,558.33,0,0,558.33,84314.53,PAID
EMP0066,2026-01,53200,10476,4273,0,0,67949,946.35,4092.31,0,5038.66,62910.34,PAID
EMP0067,2026-01,61100,10339,6797,2129.69,0,80365.69,391.67,0,2475,2866.67,77499.02,PAID
EMP0068,2026-01,52900,11040,4640,718.47,0,69298.47,864.71,0,0,864.71,68433.76,PAID
EMP0069,2026-01,65300,10626,5051,753.46,0,81730.46,423.82,0,0,423.82,81306.64,PAID
EMP0070,2026-01,62900,10414,4473,771.13,0,78558.13,393.13,0,0,393.13,78165,PAID
EMP0071,2026-01,189900,12324,0,6094.15,0,208318.15,1628.15,7303.85,0,8932,199386.15,PAID
EMP0072,2026-01,99500,10575,0,2678.85,0,112753.85,669.71,3826.92,0,4496.63,108257.22,PAID
EMP0073,2026-01,92600,9305,0,1958.85,0,103863.85,793.93,14246.15,0,15040.08,88823.77,PAID
EMP0075,2026-01,51100,11295,0,1873.26,0,64268.26,540.48,1965.38,0,2505.86,61762.4,PAID
EMP0076,2026-01,52100,9731,0,876.68,0,62707.68,772.32,2003.85,0,2776.17,59931.51,PAID
EMP0077,2026-01,44100,10746,0,2008.88,0,56854.88,342.76,1696.15,0,2038.91,54815.97,PAID
EMP0078,2026-01,49700,11257,0,1624.81,0,62581.81,258.85,0,0,258.85,62322.96,PAID
EMP0079,2026-01,53500,8858,0,1607.57,0,63965.57,780.21,4115.38,0,4895.59,59069.98,PAID
EMP0080,2026-01,53200,11939,0,1828.75,0,66967.75,298.4,4092.31,6940,11330.71,55637.04,PAID
EMP0082,2026-01,47300,8333,0,1944.3,0,57577.3,363.85,10915.38,0,11279.23,46298.07,PAID
EMP0083,2026-01,191100,10085,0,1699.69,0,202884.69,1485.31,0,0,1485.31,201399.38,PAID
EMP0084,2026-01,150200,9795,0,3375.89,0,163370.89,1937.68,17330.77,0,19268.45,144102.44,PAID
EMP0085,2026-01,72800,10369,0,1872.5,0,85041.5,554.17,2800,2861,6215.17,78826.33,PAID
EMP0086,2026-01,77700,9397,0,3147.22,0,90244.22,529.21,0,0,529.21,89715.01,PAID
EMP0087,2026-01,66000,9141,0,3339.66,0,78480.66,893.75,5076.92,0,5970.67,72509.99,PAID
EMP0088,2026-01,72800,11600,0,1688.75,0,86088.75,1423.33,2800,0,4223.33,81865.42,PAID
EMP0089,2026-01,76400,11469,0,1781.44,0,89650.44,752.98,0,0,752.98,88897.46,PAID
EMP0091,2026-01,234900,11130,0,4602.01,0,250632.01,734.06,18069.23,0,18803.29,231828.72,PAID
EMP0092,2026-01,149500,9285,0,7636.72,0,166421.72,83.85,0,0,83.85,166337.87,PAID
EMP0093,2026-01,71400,10500,0,1630.53,0,83530.53,657.93,2746.15,0,3404.08,80126.45,PAID
EMP0094,2026-01,68500,9316,0,1638.4,0,79454.4,461.06,5269.23,0,5730.29,73724.11,PAID
EMP0095,2026-01,74400,11514,0,2673.75,0,88587.75,65.58,0,0,65.58,88522.17,PAID
EMP0096,2026-01,74400,11000,0,1403.94,0,86803.94,554.42,8584.62,0,9139.04,77664.9,PAID
EMP0097,2026-01,80000,9636,0,2644.23,0,92280.23,1057.69,6153.85,0,7211.54,85068.69,PAID
EMP0098,2026-01,80000,10351,0,3865.38,14810,109026.38,108.97,0,2448,2556.97,106469.41,PAID
EMP0100,2026-01,79700,9523,0,1695.54,12756,103674.54,664.17,0,0,664.17,103010.37,PAID
EMP0001,2026-02,423400,11115,0,10737.67,0,445252.67,4105.08,16284.62,0,20389.7,424862.97,PAID
EMP0002,2026-02,189600,9670,0,3965.19,0,203235.19,4481.73,7292.31,0,11774.04,191461.15,PAID
EMP0003,2026-02,58700,10352,0,2158.92,0,71210.92,178.73,6773.08,4477,11428.81,59782.11,PAID
EMP0004,2026-02,49300,9730,0,1475.44,9077,69582.44,165.91,0,0,165.91,69416.53,PAID
EMP0005,2026-02,59300,10903,0,997.84,0,71200.84,432.4,6842.31,0,7274.71,63926.13,PAID
EMP0007,2026-02,60900,8978,0,1522.5,0,71400.5,341.59,0,0,341.59,71058.91,PAID
EMP0008,2026-02,53500,10880,0,1125.3,0,65505.3,758.77,4115.38,0,4874.15,60631.15,PAID
EMP0009,2026-02,205600,10103,0,1556.83,0,217259.83,1746.28,23723.08,0,25469.36,191790.47,PAID
EMP0010,2026-02,95600,9733,5821,3975.67,0,115129.67,988.17,0,0,988.17,114141.5,PAID
EMP0011,2026-02,99200,10780,5413,894.23,0,116287.23,1104.87,3815.38,0,4920.25,111366.98,PAID
EMP0012,2026-02,108400,10024,5061,1732.84,0,125217.84,972.82,4169.23,0,5142.05,120075.79,PAID
EMP0013,2026-02,91000,10627,6932,1585.94,0,110144.94,1312.5,0,0,1312.5,108832.44,PAID
EMP0014,2026-02,84800,9013,5171,1110.96,0,100094.96,1270.64,6523.08,0,7793.72,92301.24,PAID
EMP0015,2026-02,77100,10249,5254,1519.76,0,94122.76,1013.17,5930.77,0,6943.94,87178.82,PAID
EMP0016,2026-02,76500,9921,5605,0,0,92026,1029.81,2942.31,4527,8499.12,83526.88,PAID
EMP0017,2026-02,61700,10510,4859,2580.72,0,79649.72,440.01,0,0,440.01,79209.71,PAID
EMP0018,2026-02,57200,12164,4830,522.5,0,74716.5,540.83,2200,0,2740.83,71975.67,PAID
EMP0019,2026-02,56400,9782,5602,2277.69,0,74061.69,76.83,0,0,76.83,73984.86,PAID
EMP0020,2026-02,63500,11300,5427,1984.38,5688,87899.38,76.32,0,0,76.32,87823.06,PAID
EMP0021,2026-02,60100,9176,4336,1321.91,0,74933.91,640.49,6934.62,0,7575.11,67358.8,PAID
EMP0022,2026-02,56800,11087,5048,1863.75,0,74798.75,223.01,0,0,223.01,74575.74,PAID
EMP0023,2026-02,61100,11951,5202,2173.75,0,80426.75,846.98,2350,0,3196.98,77229.77,PAID
EMP0024,2026-02,57000,10252,5294,1397.6,0,73943.6,0,0,0,0,73943.6,PAID
EMP0025,2026-02,63600,8465,4698,871.44,0,77634.44,606.44,4892.31,0,5498.75,72135.69,PAID
EMP0026,2026-02,51900,11722,5054,1752.87,0,70428.87,582.21,1996.15,0,2578.36,67850.51,PAID
EMP0027,2026-02,63500,9857,4989,2717.07,0,81063.07,651.28,4884.62,0,5535.9,75527.17,PAID
EMP0028,2026-02,59200,9967,5461,704.42,0,75332.42,687.82,4553.85,0,5241.67,70090.75,PAID
EMP0029,2026-02,63500,9608,6357,747.96,0,80212.96,590.22,2442.31,0,3032.53,77180.43,PAID
EMP0030,2026-02,59500,11366,5421,2317.07,12805,91409.07,395.71,2288.46,0,2684.17,88724.9,PAID
EMP0031,2026-02,64900,11235,4500,1817.51,0,82452.51,156.01,0,0,156.01,82296.5,PAID
EMP0032,2026-02,64500,11586,6199,2193.93,0,84478.93,837.26,2480.77,0,3318.03,81160.9,PAID
EMP0033,2026-02,57000,12254,4119,3103.49,0,76476.49,799.28,8769.23,0,9568.51,66907.98,PAID
EMP0034,2026-02,62600,9801,5256,1723,0,79380,255.82,0,0,255.82,79124.18,PAID
EMP0035,2026-02,58400,11235,5997,1340.67,0,76972.67,341.6,2246.15,0,2587.75,74384.92,PAID
EMP0037,2026-02,40000,11159,5211,1610.58,10526,68506.58,304.49,0,5233,5537.49,62969.09,PAID
EMP0038,2026-02,43400,9761,5458,1783.99,0,60402.99,201.7,5007.69,0,5209.39,55193.6,PAID
EMP0039,2026-02,40900,11286,5070,1361.69,0,58617.69,304.78,3146.15,0,3450.93,55166.76,PAID
EMP0040,2026-02,39600,10833,6295,985.24,0,57713.24,691.73,3046.15,0,3737.88,53975.36,PAID
EMP0041,2026-02,45900,8826,5399,1141.98,0,61266.98,489.16,1765.38,0,2254.54,59012.44,PAID
EMP0042,2026-02,42300,9474,6537,1016.83,0,59327.83,643.99,6507.69,0,7151.68,52176.15,PAID
EMP0043,2026-02,45500,10435,5398,771.09,0,62104.09,164.06,0,0,164.06,61940.03,PAID
EMP0044,2026-02,41000,9913,4432,655.41,0,56000.41,502.64,4730.77,0,5233.41,50767,PAID
EMP0045,2026-02,39200,10901,6132,2124.9,0,58357.9,640.77,0,0,640.77,57717.13,PAID
EMP0046,2026-02,41400,9431,4378,1642.07,0,56851.07,59.71,0,0,59.71,56791.36,PAID
EMP0047,2026-02,29900,10764,5824,772.66,0,47260.66,481.56,1150,0,1631.56,45629.1,PAID
EMP0049,2026-02,185500,11298,0,8115.63,6601,211514.63,1501.24,21403.85,0,22905.09,188609.54,PAID
EMP0050,2026-02,86500,10787,4016,1226.8,0,102529.8,1060.46,9980.77,0,11041.23,91488.57,PAID
EMP0051,2026-02,94900,11330,5870,1060.78,0,113160.78,1034.17,7300,0,8334.17,104826.61,PAID
EMP0052,2026-02,53000,8824,4000,732.57,0,66556.57,913.06,2038.46,0,2951.52,63605.05,PAID
EMP0054,2026-02,52200,12113,6108,552.12,0,70973.12,861.63,0,4246,5107.63,65865.49,PAID
EMP0055,2026-02,59100,10260,5276,937.64,0,75573.64,312.55,4546.15,0,4858.7,70714.94,PAID
EMP0057,2026-02,52200,8778,4037,1311.27,0,66326.27,807.26,0,0,807.26,65519.01,PAID
EMP0059,2026-02,57900,9706,6805,257.49,0,74668.49,134.54,2226.92,6966,9327.46,65341.03,PAID
EMP0060,2026-02,55100,11003,5583,403.98,0,72089.98,322.3,2119.23,5973,8414.53,63675.45,PAID
EMP0061,2026-02,185200,10034,0,6277.21,0,201511.21,4496.44,14246.15,0,18742.59,182768.62,PAID
EMP0062,2026-02,93500,8965,4054,0,0,106519,1108.81,17980.77,0,19089.58,87429.42,PAID
EMP0063,2026-02,111100,11207,6526,2857.62,0,131690.62,1682.52,0,0,1682.52,130008.1,PAID
EMP0064,2026-02,55300,9726,6872,737.78,0,72635.78,394.37,4253.85,0,4648.22,67987.56,PAID
EMP0065,2026-02,67000,11704,5350,3430.53,0,87484.53,654.97,5153.85,0,5808.82,81675.71,PAID
EMP0066,2026-02,53200,11366,5414,876.01,0,70856.01,588.27,12276.92,0,12865.19,57990.82,PAID
EMP0067,2026-02,61100,11814,5074,800.47,6964,85752.47,283.96,0,0,283.96,85468.51,PAID
EMP0068,2026-02,52900,9584,5273,705.76,0,68462.76,991.88,2034.62,0,3026.5,65436.26,PAID
EMP0069,2026-02,65300,9666,4205,1232.22,0,80403.22,1046.47,5023.08,0,6069.55,74333.67,PAID
EMP0070,2026-02,62900,12618,4504,1262.54,0,81284.54,1436.42,4838.46,0,6274.88,75009.66,PAID
EMP0071,2026-02,189900,10189,0,2145.5,0,202234.5,1415.12,7303.85,0,8718.97,193515.53,PAID
EMP0072,2026-02,99500,8441,0,2762.56,17423,128126.56,1554.69,0,0,1554.69,126571.87,PAID
EMP0073,2026-02,92600,12055,0,879.25,0,105534.25,934.9,3561.54,0,4496.44,101037.81,PAID
EMP0075,2026-02,51100,10299,0,1197.66,0,62596.66,294.81,5896.15,0,6190.96,56405.7,PAID
EMP0076,2026-02,52100,12087,0,0,0,64187,693,2003.85,0,2696.85,61490.15,PAID
EMP0077,2026-02,44100,9889,0,2035.38,0,56024.38,869.28,1696.15,0,2565.43,53458.95,PAID
EMP0078,2026-02,49700,10042,0,1481.44,11084,72307.44,270.8,0,0,270.8,72036.64,PAID
EMP0079,2026-02,53500,9983,0,1749.04,0,65232.04,840.22,2057.69,0,2897.91,62334.13,PAID
EMP0080,2026-02,53200,9703,0,952.74,0,63855.74,682.05,2046.15,5298,8026.2,55829.54,PAID
EMP0082,2026-02,47300,11604,0,1432.64,0,60336.64,545.77,3638.46,0,4184.23,56152.41,PAID
EMP0083,2026-02,191100,9996,0,8314.69,0,209410.69,842.19,0,0,842.19,208568.5,PAID
EMP0084,2026-02,150200,10554,0,2346.88,0,163100.88,1961.75,17330.77,0,19292.52,143808.36,PAID
EMP0085,2026-02,72800,12550,0,0,0,85350,449.17,0,0,449.17,84900.83,PAID
EMP0086,2026-02,77700,10079,0,2969.78,0,90748.78,199.23,0,5833,6032.23,84716.55,PAID
EMP0087,2026-02,66000,11201,0,801.2,0,78002.2,518.27,0,0,518.27,77483.93,PAID
EMP0088,2026-02,72800,9194,0,175,0,82169,711.67,2800,0,3511.67,78657.33,PAID
EMP0089,2026-02,76400,11000,0,1505.96,0,88905.96,697.88,5876.92,0,6574.8,82331.16,PAID
EMP0091,2026-02,234900,9328,0,5674.87,19535,269437.87,1562.24,27103.85,0,28666.09,240771.78,PAID
EMP0092,2026-02,149500,9567,0,6828.13,0,165895.13,191.67,0,0,191.67,165703.46,PAID
EMP0093,2026-02,71400,11288,0,2299.9,0,84987.9,589.28,2746.15,0,3335.43,81652.47,PAID
EMP0094,2026-02,68500,8778,0,0,0,77278,477.52,2634.62,6939,10051.14,67226.86,PAID
EMP0095,2026-02,74400,10084,0,1833.17,0,86317.17,178.85,0,0,178.85,86138.32,PAID
EMP0096,2026-02,74400,11255,0,1502.31,0,87157.31,888.27,22892.31,0,23780.58,63376.73,PAID
EMP0097,2026-02,80000,8897,0,2471.15,0,91368.15,1589.74,3076.92,0,4666.66,86701.49,PAID
EMP0098,2026-02,80000,10390,0,3346.15,0,93736.15,352.56,0,0,352.56,93383.59,PAID
EMP0100,2026-02,79700,9099,0,0,0,88799,779.12,3065.38,0,3844.5,84954.5,PAID
EMP0001,2026-03,423400,12086,0,22340.46,0,457826.46,4206.86,16284.62,0,20491.48,437334.98,PAID
EMP0002,2026-03,189600,10627,0,2301.63,0,202528.63,3555,36461.54,0,40016.54,162512.09,PAID
EMP0003,2026-03,58700,12110,0,1199.4,0,72009.4,1095.92,9030.77,0,10126.69,61882.71,PAID
EMP0004,2026-03,49300,12667,0,1736.17,0,63703.17,102.71,0,0,102.71,63600.46,PAID
EMP0005,2026-03,59300,9383,0,2152.48,13424,84259.48,389.63,4561.54,0,4951.17,79308.31,PAID
EMP0007,2026-03,60900,10617,0,2759.53,0,74276.53,346.47,0,0,346.47,73930.06,PAID
EMP0008,2026-03,53500,10682,0,2983.65,0,67165.65,527.28,0,0,527.28,66638.37,PAID
EMP0009,2026-03,205600,10467,0,0,0,216067,3624.36,0,0,3624.36,212442.64,PAID
EMP0010,2026-03,95600,9721,5461,907.74,0,111689.74,789.01,11030.77,0,11819.78,99869.96,PAID
EMP0011,2026-03,99200,9239,5583,4387.69,0,118409.69,1152.56,7630.77,0,8783.33,109626.36,PAID
EMP0012,2026-03,108400,9870,4209,3100.87,0,125579.87,1563.46,12507.69,0,14071.15,111508.72,PAID
EMP0013,2026-03,91000,10002,5426,5085.94,0,111513.94,1013.54,0,0,1013.54,110500.4,PAID
EMP0014,2026-03,84800,9393,6900,550.38,0,101643.38,468.85,16307.69,0,16776.54,84866.84,PAID
EMP0015,2026-03,77100,9935,5380,2548.38,0,94963.38,710.46,0,0,710.46,94252.92,PAID
EMP0016,2026-03,76500,11081,5180,2638.88,0,95399.88,1483.41,5884.62,0,7368.03,88031.85,PAID
EMP0017,2026-03,61700,11199,6137,3796.92,0,82832.92,993.73,7119.23,6419,14531.96,68300.96,PAID
EMP0018,2026-03,57200,12656,5728,2695,7921,86200,421.67,8800,0,9221.67,76978.33,PAID
EMP0019,2026-03,56400,10964,6724,2053.99,0,76141.99,235,0,4863,5098,71043.99,PAID
EMP0020,2026-03,63500,9315,5145,2732.33,0,80692.33,203.53,0,0,203.53,80488.8,PAID
EMP0021,2026-03,60100,10951,5220,1141.32,0,77412.32,1083.53,6934.62,0,8018.15,69394.17,PAID
EMP0022,2026-03,56800,10565,6576,996.73,0,74937.73,81.92,0,0,81.92,74855.81,PAID
EMP0023,2026-03,61100,11863,6558,734.38,14212,94467.38,563.02,4700,0,5263.02,89204.36,PAID
EMP0024,2026-03,57000,9608,6727,1342.79,0,74677.79,187.26,0,0,187.26,74490.53,PAID
EMP0025,2026-03,63600,12807,4336,1406.54,0,82149.54,978.46,0,0,978.46,81171.08,PAID
EMP0026,2026-03,51900,10141,5774,2158.34,5423,75396.34,1102.04,1996.15,0,3098.19,72298.15,PAID
EMP0027,2026-03,63500,10739,4841,2442.31,0,81522.31,966.75,2442.31,0,3409.06,78113.25,PAID
EMP0028,2026-03,59200,11496,4306,2383.65,0,77385.65,635.64,0,0,635.64,76750.01,PAID
EMP0029,2026-03,63500,10474,6261,580.05,0,80815.05,1022.72,2442.31,0,3465.03,77350.02,PAID
EMP0030,2026-03,59500,11225,4158,2631.73,0,77514.73,209.78,2288.46,0,2498.24,75016.49,PAID
EMP0031,2026-03,64900,9675,6427,1185.67,0,82187.67,312.02,0,0,312.02,81875.65,PAID
EMP0032,2026-03,64500,10395,4330,1302.4,0,80527.4,413.46,0,0,413.46,80113.94,PAID
EMP0033,2026-03,57000,12315,6422,2712.98,0,78449.98,1109.86,8769.23,0,9879.09,68570.89,PAID
EMP0034,2026-03,62600,9339,6027,1128.61,0,79094.61,807.58,7223.08,0,8030.66,71063.95,PAID
EMP0035,2026-03,58400,10025,5041,1431.92,0,74897.92,748.72,2246.15,0,2994.87,71903.05,PAID
EMP0036,2026-03,53600,10174,5563,0,0,69337,231.92,2061.54,3343,5636.46,63700.54,PAID
EMP0037,2026-03,40000,11868,5105,110.58,0,57083.58,0,0,0,0,57083.58,PAID
EMP0038,2026-03,43400,9803,6298,1298.87,0,60799.87,778.97,0,0,778.97,60020.9,PAID
EMP0039,2026-03,40900,10698,5073,1464.93,0,58135.93,583.35,3146.15,0,3729.5,54406.43,PAID
EMP0040,2026-03,39600,10334,4632,585.43,0,55151.43,958.27,4569.23,0,5527.5,49623.93,PAID
EMP0041,2026-03,45900,12542,5652,2664.63,0,66758.63,305.26,0,0,305.26,66453.37,PAID
EMP0042,2026-03,42300,9401,6666,833.8,6936,66136.8,606.71,4880.77,0,5487.48,60649.32,PAID
EMP0043,2026-03,45500,8464,4560,1979.69,0,60503.69,61.98,0,0,61.98,60441.71,PAID
EMP0044,2026-03,41000,9767,4064,236.54,0,55067.54,693.19,4730.77,2779,8202.96,46864.58,PAID
EMP0045,2026-03,39200,11870,5594,2294.52,0,58958.52,175.9,0,0,175.9,58782.62,PAID
EMP0046,2026-03,41400,9652,6881,1806.27,8143,67882.27,119.42,0,3562,3681.42,64200.85,PAID
EMP0047,2026-03,29900,11521,4961,776.25,0,47158.25,654.06,1150,5528,7332.06,39826.19,PAID
EMP0049,2026-03,185500,10006,0,5239.48,0,200745.48,2928.17,14269.23,0,17197.4,183548.08,PAID
EMP0050,2026-03,86500,11594,4587,1673.86,0,104354.86,824.8,9980.77,6993,17798.57,86556.29,PAID
EMP0051,2026-03,94900,10386,6966,3330.63,0,115582.63,1421.98,14600,0,16021.98,99560.65,PAID
EMP0052,2026-03,53000,12041,4193,1165.75,0,70399.75,547.84,2038.46,0,2586.3,67813.45,PAID
EMP0054,2026-03,52200,10138,6025,1097.96,0,69460.96,1095.87,4015.38,4853,9964.25,59496.71,PAID
EMP0055,2026-03,59100,11645,5244,561.17,0,76550.17,340.96,2273.08,0,2614.04,73936.13,PAID
EMP0057,2026-03,52200,12208,4946,1643.8,0,70997.8,681.78,4015.38,0,4697.16,66300.64,PAID
EMP0059,2026-03,57900,9404,4538,1308.32,0,73150.32,988.2,4453.85,0,5442.05,67708.27,PAID
EMP0060,2026-03,55100,8895,4944,589.41,0,69528.41,105.96,6357.69,2188,8651.65,60876.76,PAID
EMP0061,2026-03,185200,9976,0,645.53,0,195821.53,4066.09,49861.54,0,53927.63,141893.9,PAID
EMP0062,2026-03,93500,10277,4326,809.13,0,108912.13,2232.61,10788.46,0,13021.07,95891.06,PAID
EMP0063,2026-03,111100,9185,5101,4126.19,0,129512.19,1994.1,8546.15,0,10540.25,118971.94,PAID
EMP0064,2026-03,55300,10124,4361,903.94,0,70688.94,651.37,6380.77,0,7032.14,63656.8,PAID
EMP0065,2026-03,67000,11335,6461,1393.15,0,86189.15,1052.24,0,0,1052.24,85136.91,PAID
EMP0066,2026-03,53200,10931,6753,1713.65,0,72597.65,780.1,4092.31,0,4872.41,67725.24,PAID
EMP0067,2026-03,61100,9623,4433,1828.59,0,76984.59,137.08,0,0,137.08,76847.51,PAID
EMP0068,2026-03,52900,11239,4941,1284.35,0,70364.35,796.89,2034.62,0,2831.51,67532.84,PAID
EMP0069,2026-03,65300,9169,6367,1632.5,0,82468.5,711.6,10046.15,0,10757.75,71710.75,PAID
EMP0070,2026-03,62900,10765,5478,982.81,0,80125.81,599.77,4838.46,0,5438.23,74687.58,PAID
EMP0071,2026-03,189900,12238,0,4701.85,0,206839.85,2343.32,29215.38,0,31558.7,175281.15,PAID
