employee_code,period,kpi_score,manager_score,final_score,rating,status
EMP0060,2026-02,76.91,71.73,75.36,Good,FINALIZED
EMP0061,2026-02,80.08,73.32,78.05,Good,FINALIZED
EMP0062,2026-02,70.82,65.13,69.11,Satisfactory,FINALIZED
EMP0063,2026-02,70.11,72.41,70.8,Good,FINALIZED
EMP0064,2026-02,82.18,78.93,81.21,Very Good,FINALIZED
EMP0065,2026-02,97.43,99.7,98.11,Outstanding,FINALIZED
EMP0066,2026-02,59.32,53.73,57.64,Needs Improvement,FINALIZED
EMP0067,2026-02,91.12,89.47,90.63,Outstanding,FINALIZED
EMP0068,2026-02,84.74,86.38,85.23,Very Good,FINALIZED
EMP0069,2026-02,76.71,73.62,75.78,Good,FINALIZED
EMP0070,2026-02,79.72,81.47,80.24,Very Good,FINALIZED
EMP0071,2026-02,79.16,80.04,79.42,Good,FINALIZED
EMP0072,2026-02,70.28,73.12,71.13,Good,FINALIZED
EMP0073,2026-02,82.98,87.9,84.46,Very Good,FINALIZED
EMP0075,2026-02,81.15,77.97,80.2,Very Good,FINALIZED
EMP0076,2026-02,82.36,75.09,80.18,Very Good,FINALIZED
EMP0077,2026-02,78.97,84.23,80.55,Very Good,FINALIZED
EMP0078,2026-02,87.27,87.69,87.4,Very Good,FINALIZED
EMP0079,2026-02,75,76.94,75.58,Good,FINALIZED
EMP0080,2026-02,98.63,97.1,98.17,Outstanding,FINALIZED
EMP0082,2026-02,82.46,76.08,80.55,Very Good,FINALIZED
EMP0083,2026-02,81.8,80.26,81.34,Very Good,FINALIZED
EMP0084,2026-02,76.92,69.7,74.75,Good,FINALIZED
EMP0085,2026-02,87.73,88.47,87.95,Very Good,FINALIZED
EMP0086,2026-02,89.01,86.18,88.16,Very Good,FINALIZED
EMP0087,2026-02,89.29,93.1,90.43,Outstanding,FINALIZED
EMP0088,2026-02,81.1,78.42,80.3,Very Good,FINALIZED
EMP0089,2026-02,76.66,78.14,77.1,Good,FINALIZED
EMP0091,2026-02,72.72,77.75,74.23,Good,FINALIZED
EMP0092,2026-02,83.2,86.74,84.26,Very Good,FINALIZED
EMP0093,2026-02,81.66,85.57,82.83,Very Good,FINALIZED
EMP0094,2026-02,77.54,71.35,75.68,Good,FINALIZED
EMP0095,2026-02,82.85,79.37,81.81,Very Good,FINALIZED
EMP0096,2026-02,84.03,82.58,83.6,Very Good,FINALIZED
EMP0097,2026-02,97.54,91.99,95.88,Outstanding,FINALIZED
EMP0098,2026-02,91.42,92.4,91.71,Outstanding,FINALIZED
EMP0100,2026-02,63.72,59.34,62.41,Satisfactory,FINALIZED
EMP0001,2026-03,75.89,71.03,74.43,Good,FINALIZED
EMP0002,2026-03,83.52,76.6,81.44,Very Good,FINALIZED
EMP0003,2026-03,81.59,80.46,81.25,Very Good,FINALIZED
EMP0004,2026-03,94.9,88.71,93.04,Outstanding,FINALIZED
EMP0005,2026-03,92.52,96.99,93.86,Outstanding,FINALIZED
EMP0007,2026-03,105.46,100,103.82,Outstanding,FINALIZED
EMP0008,2026-03,85.66,81.88,84.53,Very Good,FINALIZED
EMP0009,2026-03,84.85,85.69,85.1,Very Good,FINALIZED
EMP0010,2026-03,77.96,80.89,78.84,Good,FINALIZED
EMP0011,2026-03,93.78,99.7,95.56,Outstanding,FINALIZED
EMP0012,2026-03,91.12,90.01,90.79,Outstanding,FINALIZED
EMP0013,2026-03,110.22,100,107.15,Outstanding,FINALIZED
EMP0014,2026-03,85.84,87,86.19,Very Good,FINALIZED
EMP0015,2026-03,91.92,91.19,91.7,Outstanding,FINALIZED
EMP0016,2026-03,87.87,93.58,89.58,Very Good,FINALIZED
EMP0017,2026-03,87.18,85.96,86.81,Very Good,FINALIZED
EMP0018,2026-03,83.73,78.03,82.02,Very Good,FINALIZED
EMP0019,2026-03,91,87.96,90.09,Outstanding,FINALIZED
EMP0020,2026-03,92.93,92.3,92.74,Outstanding,FINALIZED
EMP0021,2026-03,107.66,100,105.36,Outstanding,FINALIZED
EMP0022,2026-03,90.88,89.54,90.48,Outstanding,FINALIZED
EMP0023,2026-03,111.94,100,108.36,Outstanding,FINALIZED
EMP0024,2026-03,93.94,99.53,95.62,Outstanding,FINALIZED
EMP0025,2026-03,89.87,84.18,88.16,Very Good,FINALIZED
EMP0026,2026-03,108.48,100,105.94,Outstanding,FINALIZED
EMP0027,2026-03,103.55,100,102.49,Outstanding,FINALIZED
EMP0028,2026-03,87.54,80.1,85.31,Very Good,FINALIZED
EMP0029,2026-03,71.25,75.55,72.54,Good,FINALIZED
EMP0030,2026-03,80.83,84.85,82.04,Very Good,FINALIZED
EMP0031,2026-03,92.62,98.51,94.39,Outstanding,FINALIZED
EMP0032,2026-03,113.33,100,109.33,Outstanding,FINALIZED
EMP0033,2026-03,89.51,87.53,88.92,Very Good,FINALIZED
EMP0034,2026-03,87.97,88.65,88.17,Very Good,FINALIZED
EMP0035,2026-03,79.76,83.66,80.93,Very Good,FINALIZED
EMP0036,2026-03,87.85,92.75,89.32,Very Good,FINALIZED
EMP0037,2026-03,97.31,98,97.52,Outstanding,FINALIZED
EMP0038,2026-03,94.22,93.47,93.99,Outstanding,FINALIZED
EMP0039,2026-03,89.67,92.67,90.57,Outstanding,FINALIZED
EMP0040,2026-03,89.35,84.76,87.97,Very Good,FINALIZED
EMP0041,2026-03,87.45,92.31,88.91,Very Good,FINALIZED
EMP0042,2026-03,85.32,88.78,86.36,Very Good,FINALIZED
EMP0043,2026-03,88.61,83.19,86.98,Very Good,FINALIZED
EMP0044,2026-03,110.38,100,107.27,Outstanding,FINALIZED
EMP0045,2026-03,91.17,93.42,91.85,Outstanding,FINALIZED
EMP0046,2026-03,75.38,68.14,73.21,Good,FINALIZED
EMP0047,2026-03,87.44,86.59,87.18,Very Good,FINALIZED
EMP0049,2026-03,64.81,57.35,62.57,Satisfactory,FINALIZED
EMP0050,2026-03,76.34,82.2,78.1,Good,FINALIZED
EMP0051,2026-03,70.73,67.82,69.86,Satisfactory,FINALIZED
EMP0052,2026-03,76.64,70.32,74.74,Good,FINALIZED
EMP0054,2026-03,75.81,71.6,74.55,Good,FINALIZED
EMP0055,2026-03,78.59,74.73,77.43,Good,FINALIZED
EMP0057,2026-03,75.46,68.72,73.44,Good,FINALIZED
EMP0059,2026-03,73.31,67.36,71.53,Good,FINALIZED
EMP0060,2026-03,78.09,82.34,79.36,Good,FINALIZED
EMP0061,2026-03,74.58,69.21,72.97,Good,FINALIZED
EMP0062,2026-03,72.76,65.37,70.54,Good,FINALIZED
EMP0063,2026-03,71.14,68.32,70.29,Good,FINALIZED
EMP0064,2026-03,80.14,75.16,78.65,Good,FINALIZED
EMP0065,2026-03,96.41,91.69,94.99,Outstanding,FINALIZED
EMP0066,2026-03,65.41,63.35,64.79,Satisfactory,FINALIZED
EMP0067,2026-03,89.98,91.3,90.38,Outstanding,FINALIZED
EMP0068,2026-03,83.5,76.94,81.53,Very Good,FINALIZED
EMP0069,2026-03,74.57,70.05,73.21,Good,FINALIZED
EMP0070,2026-03,83.34,83.3,83.33,Very Good,FINALIZED
EMP0071,2026-03,83.24,77.83,81.62,Very Good,FINALIZED
EMP0072,2026-03,70.13,66.6,69.07,Satisfactory,FINALIZED
EMP0073,2026-03,84.89,85.6,85.1,Very Good,FINALIZED
EMP0075,2026-03,78.8,75.99,77.96,Good,FINALIZED
EMP0076,2026-03,82.44,82.73,82.53,Very Good,FINALIZED
EMP0077,2026-03,81.63,73.85,79.3,Good,FINALIZED
EMP0078,2026-03,88,91.51,89.05,Very Good,FINALIZED
EMP0079,2026-03,68.62,71.01,69.34,Satisfactory,FINALIZED
EMP0080,2026-03,93.04,94.21,93.39,Outstanding,FINALIZED
EMP0082,2026-03,81.04,84.52,82.08,Very Good,FINALIZED
EMP0083,2026-03,82.69,84.12,83.12,Very Good,FINALIZED
EMP0084,2026-03,75.6,80.12,76.96,Good,FINALIZED
EMP0085,2026-03,74.46,70.09,73.15,Good,FINALIZED
EMP0086,2026-03,86.81,91.35,88.17,Very Good,FINALIZED
EMP0087,2026-03,81.08,80.89,81.02,Very Good,FINALIZED
EMP0088,2026-03,85.63,84.25,85.22,Very Good,FINALIZED
EMP0089,2026-03,79.05,79.43,79.16,Good,FINALIZED
EMP0091,2026-03,69.64,75.53,71.41,Good,FINALIZED
EMP0092,2026-03,84.67,77.96,82.66,Very Good,FINALIZED
EMP0093,2026-03,84.38,86.75,85.09,Very Good,FINALIZED
EMP0094,2026-03,77.39,82.47,78.91,Good,FINALIZED
EMP0095,2026-03,86.04,84.51,85.58,Very Good,FINALIZED
EMP0096,2026-03,89.32,94.24,90.8,Outstanding,FINALIZED
EMP0097,2026-03,98.25,92.28,96.46,Outstanding,FINALIZED
EMP0098,2026-03,90.25,95.06,91.69,Outstanding,FINALIZED
EMP0100,2026-03,53.6,46.46,51.46,Needs Improvement,FINALIZED
EMP0001,2026-04,83.99,77.76,82.12,Very Good,FINALIZED
EMP0002,2026-04,82.26,87.34,83.78,Very Good,FINALIZED
EMP0003,2026-04,82.78,81.27,82.33,Very Good,FINALIZED
EMP0004,2026-04,94.83,94.06,94.6,Outstanding,FINALIZED
EMP0005,2026-04,91.87,96.96,93.4,Outstanding,FINALIZED
EMP0006,2026-04,98.23,100,98.76,Outstanding,FINALIZED
EMP0007,2026-04,101.67,99.85,101.12,Outstanding,FINALIZED
EMP0008,2026-04,86.75,87.87,87.09,Very Good,FINALIZED
EMP0009,2026-04,80.98,75.79,79.42,Good,FINALIZED
EMP0010,2026-04,82.32,84.06,82.84,Very Good,FINALIZED
EMP0011,2026-04,90.25,90.13,90.21,Outstanding,FINALIZED
EMP0012,2026-04,97.8,90.81,95.7,Outstanding,FINALIZED
EMP0013,2026-04,107.58,100,105.31,Outstanding,FINALIZED
EMP0014,2026-04,75.15,80.35,76.71,Good,FINALIZED
EMP0015,2026-04,86.19,78.36,83.84,Very Good,FINALIZED
EMP0016,2026-04,89.29,84.37,87.81,Very Good,FINALIZED
EMP0017,2026-04,88.48,80.55,86.1,Very Good,FINALIZED
EMP0018,2026-04,82.44,77.56,80.98,Very Good,FINALIZED
EMP0019,2026-04,89.45,94.76,91.04,Outstanding,FINALIZED
EMP0020,2026-04,93.37,99.01,95.06,Outstanding,FINALIZED
EMP0021,2026-04,107.74,100,105.42,Outstanding,FINALIZED
EMP0022,2026-04,89.42,92.45,90.33,Outstanding,FINALIZED
EMP0023,2026-04,114.84,100,110.39,Outstanding,FINALIZED
EMP0024,2026-04,93.27,88.25,91.76,Outstanding,FINALIZED
EMP0025,2026-04,90.26,90.17,90.23,Outstanding,FINALIZED
EMP0026,2026-04,108.72,100,106.1,Outstanding,FINALIZED
EMP0027,2026-04,112.11,100,108.48,Outstanding,FINALIZED
EMP0028,2026-04,86.82,83.98,85.97,Very Good,FINALIZED
EMP0029,2026-04,77.53,81.54,78.73,Good,FINALIZED
EMP0030,2026-04,74.41,74.81,74.53,Good,FINALIZED
EMP0031,2026-04,87.54,93.05,89.19,Very Good,FINALIZED
EMP0032,2026-04,106.05,100,104.24,Outstanding,FINALIZED
EMP0033,2026-04,89.75,91.64,90.32,Outstanding,FINALIZED
EMP0034,2026-04,89.31,91.54,89.98,Very Good,FINALIZED
EMP0035,2026-04,75.61,69.55,73.79,Good,FINALIZED
EMP0036,2026-04,78.24,74.22,77.03,Good,FINALIZED
EMP0037,2026-04,96.61,94.05,95.84,Outstanding,FINALIZED
EMP0038,2026-04,91.76,86.8,90.27,Outstanding,FINALIZED
EMP0039,2026-04,91.29,87.99,90.3,Outstanding,FINALIZED
EMP0040,2026-04,89.3,92.3,90.2,Outstanding,FINALIZED
EMP0041,2026-04,89.43,84.11,87.83,Very Good,FINALIZED
EMP0042,2026-04,84.23,81.15,83.31,Very Good,FINALIZED
EMP0043,2026-04,93.01,89.96,92.1,Outstanding,FINALIZED
EMP0044,2026-04,112.17,100,108.52,Outstanding,FINALIZED
EMP0045,2026-04,90.18,95.15,91.67,Outstanding,FINALIZED
EMP0046,2026-04,78.42,74.14,77.14,Good,FINALIZED
EMP0047,2026-04,90.3,84.62,88.6,Very Good,FINALIZED
EMP0049,2026-04,67.51,65.14,66.8,Satisfactory,FINALIZED
EMP0050,2026-04,76.21,73.73,75.47,Good,FINALIZED
EMP0051,2026-04,70.73,72.83,71.36,Good,FINALIZED
EMP0052,2026-04,76.34,73.55,75.5,Good,FINALIZED
EMP0054,2026-04,76.34,81.97,78.03,Good,FINALIZED
EMP0055,2026-04,78.09,74.81,77.11,Good,FINALIZED
EMP0057,2026-04,77.01,76.02,76.71,Good,FINALIZED
EMP0059,2026-04,77.22,77.48,77.3,Good,FINALIZED
EMP0060,2026-04,79.97,81.77,80.51,Very Good,FINALIZED
EMP0061,2026-04,81.91,83.01,82.24,Very Good,FINALIZED
EMP0062,2026-04,73.11,66.63,71.17,Good,FINALIZED
EMP0063,2026-04,72.78,78.56,74.51,Good,FINALIZED
EMP0064,2026-04,82.84,81.09,82.32,Very Good,FINALIZED
EMP0065,2026-04,97.85,90.81,95.74,Outstanding,FINALIZED
EMP0066,2026-04,66.35,70.31,67.54,Satisfactory,FINALIZED
EMP0067,2026-04,90.28,90.59,90.37,Outstanding,FINALIZED
EMP0068,2026-04,83.7,87.56,84.86,Very Good,FINALIZED
EMP0069,2026-04,75.82,74.06,75.29,Good,FINALIZED
EMP0070,2026-04,83.68,86.88,84.64,Very Good,FINALIZED
EMP0071,2026-04,84.16,89.62,85.8,Very Good,FINALIZED
EMP0072,2026-04,66.56,68.32,67.09,Satisfactory,FINALIZED
EMP0073,2026-04,83.61,84.69,83.93,Very Good,FINALIZED
EMP0075,2026-04,76.9,75.98,76.62,Good,FINALIZED
EMP0076,2026-04,80.89,84.59,82,Very Good,FINALIZED
EMP0077,2026-04,83.25,86.66,84.27,Very Good,FINALIZED
EMP0078,2026-04,85.67,81.05,84.28,Very Good,FINALIZED
EMP0079,2026-04,73.64,79.55,75.41,Good,FINALIZED
EMP0080,2026-04,95.4,93.15,94.73,Outstanding,FINALIZED
EMP0082,2026-04,75.31,80.87,76.98,Good,FINALIZED
EMP0083,2026-04,81.8,75.1,79.79,Good,FINALIZED
EMP0084,2026-04,82.1,87.82,83.82,Very Good,FINALIZED
EMP0085,2026-04,89.08,87.83,88.71,Very Good,FINALIZED
EMP0086,2026-04,85.11,86.33,85.48,Very Good,FINALIZED
EMP0087,2026-04,85.18,81.51,84.08,Very Good,FINALIZED
EMP0088,2026-04,86.29,87.2,86.56,Very Good,FINALIZED
EMP0089,2026-04,76.92,81.9,78.41,Good,FINALIZED
EMP0090,2026-04,79.69,82.26,80.46,Very Good,FINALIZED
EMP0091,2026-04,69.23,64.58,67.83,Satisfactory,FINALIZED
EMP0092,2026-04,82.9,86.65,84.03,Very Good,FINALIZED
EMP0093,2026-04,82.17,79.26,81.3,Very Good,FINALIZED
EMP0094,2026-04,77.1,74.68,76.37,Good,FINALIZED
EMP0095,2026-04,83.2,75.67,80.94,Very Good,FINALIZED
EMP0096,2026-04,89.38,85.94,88.35,Very Good,FINALIZED
EMP0097,2026-04,96.67,94.28,95.95,Outstanding,FINALIZED
EMP0098,2026-04,91.79,89.07,90.97,Outstanding,FINALIZED
EMP0099,2026-04,84.1,87.31,85.06,Very Good,FINALIZED
EMP0100,2026-04,57.8,61.18,58.81,Needs Improvement,FINALIZED
EMP0001,2026-05,81.22,78.06,80.27,Very Good,FINALIZED
EMP0002,2026-05,85.78,89.75,86.97,Very Good,FINALIZED
EMP0003,2026-05,94.65,89.55,93.12,Outstanding,FINALIZED
EMP0004,2026-05,93.32,89.98,92.32,Outstanding,FINALIZED
EMP0005,2026-05,81.39,78.05,80.39,Very Good,FINALIZED
EMP0006,2026-05,92.65,91.87,92.42,Outstanding,FINALIZED
EMP0007,2026-05,103.94,100,102.76,Outstanding,FINALIZED
EMP0008,2026-05,83.21,81.81,82.79,Very Good,FINALIZED
EMP0009,2026-05,83.42,82.67,83.2,Very Good,FINALIZED
EMP0010,2026-05,78.99,72.02,76.9,Good,FINALIZED
EMP0011,2026-05,92.04,91.81,91.97,Outstanding,FINALIZED
EMP0012,2026-05,88.66,93.71,90.17,Outstanding,FINALIZED
EMP0013,2026-05,108,100,105.6,Outstanding,FINALIZED
EMP0014,2026-05,83.61,80.88,82.79,Very Good,FINALIZED
EMP0015,2026-05,91.15,97.01,92.91,Outstanding,FINALIZED
EMP0016,2026-05,83.44,85.88,84.17,Very Good,FINALIZED
EMP0017,2026-05,86.03,82.09,84.85,Very Good,FINALIZED
EMP0018,2026-05,80.93,84.79,82.09,Very Good,FINALIZED
EMP0019,2026-05,96.34,89.08,94.16,Outstanding,FINALIZED
EMP0020,2026-05,91.25,87.28,90.06,Outstanding,FINALIZED
EMP0021,2026-05,97.46,98.64,97.81,Outstanding,FINALIZED
EMP0022,2026-05,90.84,84.39,88.91,Very Good,FINALIZED
EMP0023,2026-05,112.76,100,108.93,Outstanding,FINALIZED
EMP0024,2026-05,92.26,85.49,90.23,Outstanding,FINALIZED
EMP0025,2026-05,80.94,77.33,79.86,Good,FINALIZED
EMP0026,2026-05,103.69,96.14,101.43,Outstanding,FINALIZED
EMP0027,2026-05,108.94,100,106.26,Outstanding,FINALIZED
EMP0028,2026-05,91.03,87.19,89.88,Very Good,FINALIZED
EMP0029,2026-05,78.54,84.24,80.25,Very Good,FINALIZED
EMP0030,2026-05,76.67,69.39,74.49,Good,FINALIZED
EMP0031,2026-05,94.59,95.21,94.78,Outstanding,FINALIZED
EMP0032,2026-05,107.55,100,105.29,Outstanding,FINALIZED
EMP0033,2026-05,89.3,90.09,89.54,Very Good,FINALIZED
EMP0034,2026-05,80.86,73.79,78.74,Good,FINALIZED
EMP0035,2026-05,72.31,77.37,73.83,Good,FINALIZED
EMP0036,2026-05,84.25,80.22,83.04,Very Good,FINALIZED
EMP0037,2026-05,97.65,90.38,95.47,Outstanding,FINALIZED
EMP0038,2026-05,92.97,96.43,94.01,Outstanding,FINALIZED
EMP0039,2026-05,95.72,88.5,93.55,Outstanding,FINALIZED
EMP0040,2026-05,88.91,91.35,89.64,Very Good,FINALIZED
EMP0041,2026-05,87.42,86.66,87.19,Very Good,FINALIZED
EMP0042,2026-05,83.86,78.71,82.32,Very Good,FINALIZED
EMP0043,2026-05,94.3,93.65,94.1,Outstanding,FINALIZED
EMP0044,2026-05,114.24,100,109.97,Outstanding,FINALIZED
EMP0045,2026-05,89.63,93.51,90.79,Outstanding,FINALIZED
EMP0046,2026-05,80.87,83.41,81.63,Very Good,FINALIZED
EMP0047,2026-05,90.91,83.44,88.67,Very Good,FINALIZED
EMP0049,2026-05,63.62,60.34,62.64,Satisfactory,FINALIZED
EMP0050,2026-05,76.62,80.88,77.9,Good,FINALIZED
EMP0051,2026-05,72.69,72.51,72.64,Good,FINALIZED
EMP0052,2026-05,80.22,79.63,80.04,Very Good,FINALIZED
EMP0054,2026-05,75.64,74.13,75.19,Good,FINALIZED
EMP0055,2026-05,76.91,82.45,78.57,Good,FINALIZED
EMP0057,2026-05,73.77,77.16,74.79,Good,FINALIZED
EMP0059,2026-05,77.84,77.71,77.8,Good,FINALIZED
EMP0060,2026-05,74.14,76.99,74.99,Good,FINALIZED
EMP0061,2026-05,74.32,69.74,72.95,Good,FINALIZED
EMP0062,2026-05,76.4,77.61,76.76,Good,FINALIZED
EMP0063,2026-05,75.69,68.2,73.44,Good,FINALIZED
EMP0064,2026-05,75.9,75.04,75.64,Good,FINALIZED
EMP0065,2026-05,91.32,87,90.02,Outstanding,FINALIZED
EMP0066,2026-05,67.37,71.62,68.65,Satisfactory,FINALIZED
EMP0067,2026-05,87.54,87.77,87.61,Very Good,FINALIZED
EMP0068,2026-05,83.29,83.32,83.3,Very Good,FINALIZED
EMP0069,2026-05,79.28,81.94,80.08,Very Good,FINALIZED
EMP0070,2026-05,84.33,86.08,84.85,Very Good,FINALIZED
EMP0071,2026-05,83.06,86.9,84.21,Very Good,FINALIZED
EMP0072,2026-05,68.54,69.23,68.75,Satisfactory,FINALIZED
EMP0073,2026-05,83.53,76.91,81.54,Very Good,FINALIZED
EMP0075,2026-05,80.16,79.34,79.91,Good,FINALIZED
EMP0076,2026-05,81.12,78.45,80.32,Very Good,FINALIZED
EMP0077,2026-05,81.39,82.32,81.67,Very Good,FINALIZED
EMP0078,2026-05,86.11,81.43,84.71,Very Good,FINALIZED
EMP0079,2026-05,69.6,66.41,68.64,Satisfactory,FINALIZED
EMP0080,2026-05,95.18,89.75,93.55,Outstanding,FINALIZED
EMP0081,2026-05,85.29,80.21,83.77,Very Good,FINALIZED
EMP0082,2026-05,77.33,80.99,78.43,Good,FINALIZED
EMP0083,2026-05,84.72,87.5,85.55,Very Good,FINALIZED
EMP0084,2026-05,85.58,78.2,83.37,Very Good,FINALIZED
EMP0085,2026-05,83.75,77.07,81.75,Very Good,FINALIZED
EMP0086,2026-05,82.86,78.93,81.68,Very Good,FINALIZED
EMP0087,2026-05,82.25,80.33,81.67,Very Good,FINALIZED
EMP0088,2026-05,75.87,79.13,76.85,Good,FINALIZED
EMP0089,2026-05,83.75,77.71,81.94,Very Good,FINALIZED
EMP0090,2026-05,83.8,81.57,83.13,Very Good,FINALIZED
EMP0091,2026-05,73.55,71.34,72.89,Good,FINALIZED
EMP0092,2026-05,81.81,86.35,83.17,Very Good,FINALIZED
EMP0093,2026-05,80.25,82.17,80.83,Very Good,FINALIZED
EMP0094,2026-05,74.27,74.7,74.4,Good,FINALIZED
EMP0095,2026-05,86.88,82.4,85.54,Very Good,FINALIZED
EMP0096,2026-05,92.25,88.73,91.19,Outstanding,FINALIZED
EMP0097,2026-05,95.98,88.62,93.77,Outstanding,FINALIZED
EMP0098,2026-05,90.96,87.57,89.94,Very Good,FINALIZED
EMP0099,2026-05,87.98,86.82,87.63,Very Good,FINALIZED
EMP0100,2026-05,65.89,65.84,65.88,Satisfactory,FINALIZED
EMP0001,2026-06,78.39,71.99,76.47,Good,FINALIZED
EMP0002,2026-06,85.82,89.16,86.82,Very Good,FINALIZED
EMP0003,2026-06,90.18,92.77,90.96,Outstanding,FINALIZED
EMP0004,2026-06,95.5,99.75,96.78,Outstanding,FINALIZED
EMP0005,2026-06,89.98,83.64,88.08,Very Good,FINALIZED
EMP0006,2026-06,90.81,88.83,90.22,Outstanding,FINALIZED
EMP0007,2026-06,104.19,100,102.93,Outstanding,FINALIZED
EMP0008,2026-06,81,82.02,81.31,Very Good,FINALIZED
EMP0009,2026-06,85.1,90.15,86.62,Very Good,FINALIZED
EMP0010,2026-06,79.61,78.34,79.23,Good,FINALIZED
EMP0011,2026-06,93.99,98.26,95.27,Outstanding,FINALIZED
EMP0012,2026-06,93.07,95.02,93.65,Outstanding,FINALIZED
EMP0013,2026-06,104.43,98.76,102.73,Outstanding,FINALIZED
EMP0014,2026-06,84.85,77.22,82.56,Very Good,FINALIZED
EMP0015,2026-06,81.98,78.16,80.83,Very Good,FINALIZED
EMP0016,2026-06,89.14,82.3,87.09,Very Good,FINALIZED
EMP0017,2026-06,82.1,86.64,83.46,Very Good,FINALIZED
EMP0018,2026-06,85.29,81.12,84.04,Very Good,FINALIZED
EMP0019,2026-06,95.92,97.11,96.28,Outstanding,FINALIZED
EMP0020,2026-06,91.51,90.74,91.28,Outstanding,FINALIZED
EMP0021,2026-06,107.45,100,105.22,Outstanding,FINALIZED
EMP0022,2026-06,91.85,92.95,92.18,Outstanding,FINALIZED
EMP0023,2026-06,111.46,100,108.02,Outstanding,FINALIZED
EMP0024,2026-06,93.59,94.9,93.98,Outstanding,FINALIZED
EMP0025,2026-06,88.26,94.25,90.06,Outstanding,FINALIZED
EMP0026,2026-06,111.61,100,108.13,Outstanding,FINALIZED
EMP0027,2026-06,107.87,100,105.51,Outstanding,FINALIZED
EMP0028,2026-06,90.94,87.47,89.9,Very Good,FINALIZED
EMP0029,2026-06,76.41,79.04,77.2,Good,FINALIZED
EMP0030,2026-06,76,73.01,75.1,Good,FINALIZED
EMP0031,2026-06,94.18,89.61,92.81,Outstanding,FINALIZED
EMP0032,2026-06,109.2,100,106.44,Outstanding,FINALIZED
EMP0033,2026-06,82.42,75.48,80.34,Very Good,FINALIZED
EMP0034,2026-06,87.77,87.92,87.82,Very Good,FINALIZED
EMP0035,2026-06,75.56,72.3,74.58,Good,FINALIZED
EMP0036,2026-06,84.11,79.06,82.6,Very Good,FINALIZED
EMP0037,2026-06,96.13,93.01,95.19,Outstanding,FINALIZED
EMP0038,2026-06,91.13,94.43,92.12,Outstanding,FINALIZED
EMP0039,2026-06,87.06,80.89,85.21,Very Good,FINALIZED
EMP0040,2026-06,84.44,87.45,85.34,Very Good,FINALIZED
EMP0041,2026-06,86.59,92.4,88.33,Very Good,FINALIZED
EMP0042,2026-06,84.94,86.95,85.54,Very Good,FINALIZED
EMP0043,2026-06,92.02,88.25,90.89,Outstanding,FINALIZED
EMP0044,2026-06,110.46,100,107.32,Outstanding,FINALIZED
EMP0045,2026-06,81.4,77.27,80.16,Very Good,FINALIZED
EMP0046,2026-06,81.79,82.77,82.08,Very Good,FINALIZED
EMP0047,2026-06,88.38,80.41,85.99,Very Good,FINALIZED
EMP0049,2026-06,66.08,69.21,67.02,Satisfactory,FINALIZED
EMP0050,2026-06,73.33,75.63,74.02,Good,FINALIZED
EMP0051,2026-06,68.24,63.84,66.92,Satisfactory,FINALIZED
EMP0052,2026-06,76.21,69.64,74.24,Good,FINALIZED
EMP0054,2026-06,80.44,80.37,80.42,Very Good,FINALIZED
EMP0055,2026-06,74.26,77.45,75.22,Good,FINALIZED
EMP0057,2026-06,78.17,81.98,79.31,Good,FINALIZED
EMP0059,2026-06,76.64,80.71,77.86,Good,FINALIZED
EMP0060,2026-06,78.93,74.63,77.64,Good,FINALIZED
EMP0061,2026-06,78.8,74.65,77.55,Good,FINALIZED
EMP0062,2026-06,72.96,70.63,72.26,Good,FINALIZED
EMP0063,2026-06,65.76,69.14,66.77,Satisfactory,FINALIZED
EMP0064,2026-06,81.16,81.36,81.22,Very Good,FINALIZED
EMP0065,2026-06,97.97,94.51,96.93,Outstanding,FINALIZED
EMP0066,2026-06,69.29,73,70.4,Good,FINALIZED
EMP0067,2026-06,88.87,88.63,88.8,Very Good,FINALIZED
EMP0068,2026-06,83.36,78.35,81.86,Very Good,FINALIZED
EMP0069,2026-06,79.58,80.8,79.95,Good,FINALIZED
EMP0070,2026-06,85.11,90.65,86.77,Very Good,FINALIZED
EMP0071,2026-06,82.39,84.23,82.94,Very Good,FINALIZED
EMP0072,2026-06,68.06,70.81,68.88,Satisfactory,FINALIZED
EMP0073,2026-06,80.84,85.82,82.33,Very Good,FINALIZED
EMP0075,2026-06,81.35,86.99,83.04,Very Good,FINALIZED
EMP0076,2026-06,80.24,74.86,78.63,Good,FINALIZED
EMP0077,2026-06,78.26,83.19,79.74,Good,FINALIZED
EMP0078,2026-06,87.45,90.24,88.29,Very Good,FINALIZED
EMP0079,2026-06,78.92,78.03,78.65,Good,FINALIZED
EMP0080,2026-06,94.93,95.6,95.13,Outstanding,FINALIZED
EMP0081,2026-06,82.52,81.29,82.15,Very Good,FINALIZED
EMP0082,2026-06,85.67,79.14,83.71,Very Good,FINALIZED
EMP0083,2026-06,80.57,82.21,81.06,Very Good,FINALIZED
EMP0084,2026-06,72.56,77.19,73.95,Good,FINALIZED
EMP0085,2026-06,86.72,84.94,86.19,Very Good,FINALIZED
EMP0086,2026-06,88.74,85.39,87.74,Very Good,FINALIZED
EMP0087,2026-06,84.83,85.78,85.12,Very Good,FINALIZED
EMP0088,2026-06,81.06,84.62,82.13,Very Good,FINALIZED
EMP0089,2026-06,80.62,76.11,79.27,Good,FINALIZED
EMP0090,2026-06,85.56,78.91,83.57,Very Good,FINALIZED
